route,source_file,content_id,kind,English,Español,中文,notes
(all pages via t()),src/i18n/messages/*.ts,common.indexSummary,i18n,{{files}} FILES · {{subs}} SUB-CHAPTERS,{{files}} ARCHIVOS · {{subs}} SUBCAPÍTULOS,{{files}} 个档案 · {{subs}} 个子章节,
(all pages via t()),src/i18n/messages/*.ts,common.classifiedFiles,i18n,CLASSIFIED FILES,ARCHIVOS CLASIFICADOS,机密档案,
(all pages via t()),src/i18n/messages/*.ts,common.comingSoon,i18n,Coming Soon,Próximamente,敬请期待,
(all pages via t()),src/i18n/messages/*.ts,common.scroll,i18n,Scroll,Desplazar,滚动,
(all pages via t()),src/i18n/messages/*.ts,common.minutes,i18n,Minutes,Minutos,分钟,
(all pages via t()),src/i18n/messages/*.ts,common.episodes,i18n,Episodes,Episodios,集,
(all pages via t()),src/i18n/messages/*.ts,record.archiveSeries,i18n,Documentary Archive · Series I,Archivo documental · Serie I,纪录片档案 · 第一季,
(all pages via t()),src/i18n/messages/*.ts,record.archivalNote,i18n,Archival Note,Nota de archivo,档案说明,
(all pages via t()),src/i18n/messages/*.ts,record.endArchive,i18n,End of Archive,Fin del archivo,档案结束,
(all pages via t()),src/i18n/messages/*.ts,episode.abstract,i18n,Abstract,Resumen,摘要,
(all pages via t()),src/i18n/messages/*.ts,episode.keyFeatures,i18n,Key Features,Aspectos clave,要点,
(all pages via t()),src/i18n/messages/*.ts,episode.duration,i18n,Duration,Duración,片长,
(all pages via t()),src/i18n/messages/*.ts,episode.openDossier,i18n,Open Dossier,Abrir expediente,打开卷宗,
(all pages via t()),src/i18n/messages/*.ts,episode.closeDossier,i18n,Close Dossier,Cerrar expediente,关闭卷宗,
(all pages via t()),src/i18n/messages/*.ts,episode.watch,i18n,Watch,Ver,观看,
(all pages via t()),src/i18n/messages/*.ts,spirit.seriesBadge,i18n,Medical Documentary · Series II,Documental médico · Serie II,医学纪录片 · 第二季,
(all pages via t()),src/i18n/messages/*.ts,spirit.hero.titleBefore,i18n,Woos,Woos,伍斯,
(all pages via t()),src/i18n/messages/*.ts,spirit.hero.titleHighlight,i18n,Spirit Medicine,Medicina espiritual,灵体医学,
(all pages via t()),src/i18n/messages/*.ts,spirit.hero.body,i18n,"This documentary scientifically reveals the Human Spirit (Soul) Medicine — organs, physiological systems, and basic pathology of the Spirit (Soul), along with the evidence and pathogenesis of Spirit (Ghost) harm to the human host after death.","Este documental revela científicamente la medicina del espíritu humano (alma) — órganos, sistemas fisiológicos y patología básica del espíritu (alma), junto con la evidencia y la patogenia del daño del espíritu (fantasma) al huésped humano tras la muerte.",本纪录片从科学角度揭示人类灵（魂）体医学——灵的器官、生理系统与基本病理，以及亡后灵（鬼）对人体宿主造成伤害的证据与发病机制。,
(all pages via t()),src/i18n/messages/*.ts,spirit.endSeries,i18n,End of Series II,Fin de la serie II,第二季结束,
(all pages via t()),src/i18n/messages/*.ts,spirit.watchYoutube,i18n,Watch on YouTube,Ver en YouTube,在 YouTube 观看,
(all pages via t()),src/i18n/messages/*.ts,spirit.openPlaylist,i18n,Open full YouTube playlist,Abrir lista de reproducción completa en YouTube,打开完整 YouTube 播放列表,
(all pages via t()),src/i18n/messages/*.ts,matrix.seriesBadge,i18n,Meta Documentary · Series III,Meta documental · Serie III,元纪录片 · 第三季,
(all pages via t()),src/i18n/messages/*.ts,matrix.title,i18n,Universal Matrix of Meta Awareness,Matriz universal de meta-conciencia,元觉知宇宙矩阵,
(all pages via t()),src/i18n/messages/*.ts,matrix.subtitle,i18n,The brain beyond universe,El cerebro más allá del universo,宇宙之外的脑,
(all pages via t()),src/i18n/messages/*.ts,matrix.endSeries,i18n,End of Series III,Fin de la serie III,第三季结束,
(all pages via t()),src/i18n/messages/*.ts,about.hero.badge,i18n,Umma New Century Organization,Organización Umma New Century,乌玛新世纪组织,
(all pages via t()),src/i18n/messages/*.ts,about.hero.titleLine1,i18n,Association of Spirit,Asociación del Embajador,灵界大使,
(all pages via t()),src/i18n/messages/*.ts,about.hero.titleLine2,i18n,Realm's Ambassador,del Reino Espiritual,协会,
(all pages via t()),src/i18n/messages/*.ts,about.hero.pillAsra,i18n,Physical World — ASra,Mundo físico — ASra,物质世界 — ASra,
(all pages via t()),src/i18n/messages/*.ts,about.hero.pillSmsc,i18n,Spirit Realm — SMSC,Reino espiritual — SMSC,灵界 — SMSC,
(all pages via t()),src/i18n/messages/*.ts,about.dual.title,i18n,The Dual-Domain Structure,Estructura de doble dominio,双域结构,
(all pages via t()),src/i18n/messages/*.ts,about.dual.label,i18n,One Organization · Two Realms,Una organización · Dos reinos,一个组织 · 两个领域,
(all pages via t()),src/i18n/messages/*.ts,about.dual.umbrellaLabel,i18n,Umbrella Organization,Organización paraguas,伞形组织,
(all pages via t()),src/i18n/messages/*.ts,about.dual.umbrellaSub,i18n,New Century of UMMa,Nuevo siglo de UMMa,乌玛的新世纪,
(all pages via t()),src/i18n/messages/*.ts,about.card.physicalLabel,i18n,Physical World,Mundo físico,物质世界,
(all pages via t()),src/i18n/messages/*.ts,about.card.spiritLabel,i18n,Spirit Realm,Reino espiritual,灵界,
(all pages via t()),src/i18n/messages/*.ts,about.connector.ratio,i18n,1:1 or 2:1,1:1 o 2:1,1:1 或 2:1,
(all pages via t()),src/i18n/messages/*.ts,about.connector.partnership,i18n,Partnership,Colaboración,伙伴关系,
(all pages via t()),src/i18n/messages/*.ts,about.how.title,i18n,How It Works,Cómo funciona,如何运作,
(all pages via t()),src/i18n/messages/*.ts,about.how.label,i18n,The ASra · SMSC Partnership Process,Proceso de colaboración ASra · SMSC,ASra · SMSC 协作流程,
(all pages via t()),src/i18n/messages/*.ts,about.how.step1.title,i18n,Assignment,Asignación,指定,
(all pages via t()),src/i18n/messages/*.ts,about.how.step1.body,i18n,"Each ASra human member is assigned 1 or 2 dedicated Master Spirits from the SMSC — forming a direct, ongoing partnership across both realms.",A cada miembro humano de ASra se le asignan 1 o 2 Maestros Espirituales dedicados del SMSC — formando una colaboración directa y continua entre ambos reinos.,每位 ASra 人类会员由 SMSC 指定 1 或 2 名专属高级灵体——在双域之间形成直接、持续的伙伴关系。,
(all pages via t()),src/i18n/messages/*.ts,about.how.step2.title,i18n,Empowerment,Empoderamiento,赋能,
(all pages via t()),src/i18n/messages/*.ts,about.how.step2.body,i18n,"Through this partnership, human members acquire Class-C special abilities: the power to govern attached spirits and to actively improve human health.","Mediante esta colaboración, los miembros humanos adquieren habilidades especiales de clase C: el poder de gobernar espíritus adheridos y mejorar activamente la salud humana.",通过该伙伴关系，人类会员获得 C 级特殊能力：治理附体灵并主动改善人类健康。,
(all pages via t()),src/i18n/messages/*.ts,about.how.step3.title,i18n,Mission,Misión,使命,
(all pages via t()),src/i18n/messages/*.ts,about.how.step3.body,i18n,"Empowered members serve as ambassadors — spreading the truth of the Spirit Realm and spirit life entities to the world, and leading humanity toward the New Century.","Los miembros empoderados sirven como embajadores — difundiendo la verdad del Reino Espiritual y de las entidades de vida espiritual, y guiando a la humanidad hacia el Nuevo Siglo.",被赋能的会员作为大使——向世界传播灵界与灵命实体的真相，并引领人类迈向新世纪。,
(all pages via t()),src/i18n/messages/*.ts,about.founders.title,i18n,The Founders,Los fundadores,创始者,
(all pages via t()),src/i18n/messages/*.ts,about.founders.label,i18n,Chief Ambassadors & Coordinators,Embajadores jefes y coordinadores,首席大使与协调者,
(all pages via t()),src/i18n/messages/*.ts,about.founders.woos,i18n,The Woos,Los Woos,伍斯家族,
(all pages via t()),src/i18n/messages/*.ts,about.founders.fatherSon,i18n,Father & Son,Padre e hijo,父子,
(all pages via t()),src/i18n/messages/*.ts,about.founders.storyCta,i18n,✦  Read founder story (2026 outline)  ✦,✦  Leer historia fundacional (2026)  ✦,✦  阅读创始故事（2026 纲要）  ✦,
(all pages via t()),src/i18n/messages/*.ts,nav.founderStory,i18n,Founder story,Historia fundacional,创始故事,
(all pages via t()),src/i18n/messages/*.ts,about.missions.title,i18n,Member Mission & Obligations,Misión y obligaciones de los miembros,会员使命与义务,
(all pages via t()),src/i18n/messages/*.ts,about.missions.label,i18n,ASra Members' Two Sacred Duties,Los dos deberes sagrados de los miembros de ASra,ASra 会员的两项神圣职责,
(all pages via t()),src/i18n/messages/*.ts,about.cta.title,i18n,Ready to Join ASra?,¿Listo para unirte a ASra?,准备好加入 ASra 了吗？,
(all pages via t()),src/i18n/messages/*.ts,about.cta.subtitle,i18n,Lead Humanity into the New Century,Guía a la humanidad hacia el Nuevo Siglo,引领人类进入新世纪,
(all pages via t()),src/i18n/messages/*.ts,about.cta.button,i18n,✦   Visit: Apply to Join   ✦,✦   Visitar: Solicitud de ingreso   ✦,✦   访问：申请加入   ✦,
/about,src/content/siteContent.ts,aboutContent.orgName,content,Umma New Century Organization,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.orgSubtitle,content,New Century of UMMa,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.tagline,content,A Dual-Domain Organization Spanning the Spirit Realm and the Physical World,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.overview,content,"The Umma New Century Organization (New Century of UMMa) is a dual-domain organization spanning both the Spirit Realm and the physical world.

In the physical world, the Umma New Century Organization oversees the Association of Spirit Realm's Ambassador (ASra). Spirit Realm Ambassadors are human beings living in the physical world. Tens of thousands of members will be distributed across all nations, ethnicities, and cultural communities worldwide.

In the Spirit Realm, the Umma New Century Organization oversees the Society of Master Spirit Controllers (SMSC). The SMSC comprises tens of thousands of Master Spirit members. A Master Spirit is an administrator in the Spirit Realm who governs ordinary spirits (ghosts) and human beings.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.asra.name,content,Association of Spirit Realm's Ambassador,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.asra.abbr,content,ASra,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.asra.domain,content,Physical World,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.asra.description,content,"Spirit Realm Ambassadors are human beings living in the physical world. Tens of thousands of members will be distributed across all nations, ethnicities, and cultural communities worldwide.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.smsc.name,content,Society of Master Spirit Controllers,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.smsc.abbr,content,SMSC,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.smsc.domain,content,Spirit Realm,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.smsc.description,content,The SMSC comprises tens of thousands of Master Spirit members. A Master Spirit is an administrator in the Spirit Realm who governs ordinary spirits (ghosts) and human beings.,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.partnership,content,"The SMSC was established specifically to support ASra. The Master Spirits of the SMSC will assist each ASra human member on a 1:1 or 2:1 basis — enabling human members to acquire the special ability to govern attached spirits, improve human health, and simultaneously serve as ambassadors who spread the truth about the Spirit Realm and spirit life entities.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.founders.title,content,The Woos Father and Son,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.founders.subtitle,content,Founders & Chief Ambassadors of ASra,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.founders.description,content,"The Woo family — father John Long Woo and his sons — founded ASra and serve as chief ambassadors. They coordinate between ASra (physical world) and SMSC (Spirit Realm), screening candidates for membership until Master Spirit selection is complete.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.founders.storyTeaser,content,"Full chronology: first door-openers to the Spirit Realm, Phase A field work through Phase B TikTok North America — truths, timeline, and staged narrative in one place (English).",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[0].number,content,I,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[0].title,content,Spirit Governance & Human Health,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[0].description,content,"Based on the content of the Woos Spirit Archive and Woos Spirit Medicine, members acquire Class-C special abilities to govern attached spirits and improve human health. Members independently operate in the physical world and receive corresponding compensation.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[0].tag,content,Class-C Ability,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[1].number,content,II,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[1].title,content,Spread the Truth — Lead Humanity to the New Century,,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[1].description,content,"The emergence of AI will inevitably lead to universal unemployment across all of humanity; the deployment of military AI will inevitably lead to humanity's extinction. Humanity stands at the edge of the destruction of the old century.

Based on the three documentary series — the Woos Spirit Archive, Woos Spirit Medicine, and the Universal Matrix of Meta Awareness — members are obligated to spread to the 8 billion people of humanity the truth of Spirit and Its Governor, which has been concealed for thousands of years, and to lead humanity toward the Umma New Century.",,,源码仅英文；核对后补西语/中文
/about,src/content/siteContent.ts,aboutContent.missions[1].tag,content,Global Mission,,,源码仅英文；核对后补西语/中文
/,src/content/siteContent.ts,siteContent.home.heroTitle,content,Association of Spirit Realm's Ambassador,,,源码仅英文；核对后补西语/中文
/,src/content/siteContent.ts,siteContent.home.heroSubtitle,content,Umma New Century Organization,,,源码仅英文；核对后补西语/中文
/,src/content/siteContent.ts,siteContent.home.introTitle,content,What is ASra?,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.title,content,Woos Record of Soul,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.description,content,"This Documentary Was Shot Earlier, Recording The Process Of Woos Father And Son Being Possessed By Spirits And Fighting. And The Scientific Summary Of Human Research On Supernatural Phenomena, Near-Death Experience And Reincarnation.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.note,content,"When Woos record of Soul were filmed, Spirits were sometimes called ghost and sometimes soul, but in the spirit medicine filmed in 2025, ghosts were clearly called spirit(ghost).",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.episodesCount,content,11,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.minutes,content,942+,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[0].fileNumber,content,FILE 1-1-1,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[0].title,content,Introduction to Woos Record of Soul,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[0].abstract,content,"An overview of the entire documentary , its methodology, and its revolutionary premise.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[0].videoLength,content,17mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[1].fileNumber,content,FILE 1-1-2,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[1].title,content,Scientifically prove the Existence of Souls through Epilepsy,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[1].abstract,content,"Demonstrating how electromagnetic, thermal, and quantum sensors can detect and record phenomena attributable to spirit presence.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[1].videoLength,content,6mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[2].fileNumber,content,FILE 1-1-3,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[2].title,content,Authenticity Research of PSI,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[2].abstract,content,"PSI phenomena — telepathy, psychokinesis, clairvoyance — are the foundational gateway to understanding spiritual forces. Yet their legitimacy has long been dismissed as pseudoscience. This episode reveals groundbreaking research from China’s 507 Institute (China’s equivalent to NASA) — proving that spirit-derived forces are real, measurable, and reproducible.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[2].keyFeatures,content,"Unprecedented high-speed camera footage and irrefutable PSI experimental data never before shown to the public. The authenticity of these experiments — rigorously controlled, peer-reviewed, and non-fakeable — forms the core of this video.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[2].videoLength,content,64mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[3].fileNumber,content,FILE 1-2-1,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[3].title,content,"Origin, Destination after death of Souls & Impact on human",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[3].abstract,content,"Where do human souls come from? Where do they go after death? Do they ascend to heaven, descend to hell, or reincarnate according to religious doctrines?This episode reveals a startling truth: The primary destination of ancestral human spirits is not another realm — but parasitic attachment to living human beings.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[3].keyFeatures,content,"Drawing on 12 peer-reviewed studies from Western universities and ICD-11 Category 6B6 (Spirit Attachment Disorders), this series maps the global distribution of spirit attachment and demonstrates its direct link to dissociative disorders, identity fragmentation, and unexplained psychological symptoms.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[3].videoLength,content,154mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[4].fileNumber,content,FILE 1-2-2,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[4].title,content,Material Foundation of soul: Spiritual World has Natural Internet Attribute,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[4].abstract,content,"Traditional materialism denies spirit(Ghost) existence by asserting that consciousness is merely an epiphenomenon of the brain — and thus ceases at death. But Chinese PSI research proves otherwise: The ethereal realm possesses an innate, internet-like architecture capable of transmitting conscious information in GIF-like formats via a “blog-style” addressing system.This proves: Consciousness and the soul can exist independently of the physical brain.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[4].keyFeatures,content,"Four groundbreaking PSI papers by Professor Shao Laisheng of Fudan University and colleagues demonstrate that humans can transmit pure conscious information — without instruments — from Shanghai to Beijing, directly through mental intent.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[4].videoLength,content,32mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[5].fileNumber,content,FILE 1-2-3,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[5].title,content,Scientific Proof of Soul Parasitism/Possession caused Mental / Psychosis Illnesses,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[5].abstract,content,"In this world, where is it easy to find a spirit(ghost)? In countless patients with dissociative disorder, schizophrenia, epilepsy, depression, somatization disorder and many other diseases. This series of videos will deeply discuss the etiology research and pain brought by spirit(ghost) to mental patients.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[5].keyFeatures,content,This series of videos shows the distribution of spiritual body in the world with 15 medical research papers from famous western universities and precious real video materials of spirit(ghost) possession. The statistics of psychiatry are often the distribution data of spirit(ghost).,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[5].videoLength,content,154mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[6].fileNumber,content,FILE 1-2-4,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[6].title,content,Deep Exploration of Soul-triggering Epilepsy’s Mechanism,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[6].abstract,content,"The Woos own epilepsy is caused by spirit(ghost) possession — directly contradicting modern neurology’s claim that epilepsy arises solely from abnormal neural firing. This series reveals: spirit(ghost) are material entities capable of emitting electromagnetic charges. These charges induce epileptogenic foci in the human brain, triggering seizures.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[6].keyFeatures,content,"Supported by 15 peer-reviewed medical papers from global universities and the Wu family’s personal medical records, this series provides irrefutable evidence that spirit-induced illness operates through physical, material mechanisms — not metaphysical mysticism.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[6].videoLength,content,76mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[7].fileNumber,content,FILE 1-2-5,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[7].title,content,The truth of NDE – sophisticated illusions orchestrated by parasitic souls,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[7].abstract,content,"Near-death experiences (NDEs) — tunnels of light, deceased relatives, out-of-body journeys — are widely cited as proof of an afterlife. But this series proves: NDEs are not glimpses of death — they are hallucinations generated by attached spirits(ghosts). Through five analytical dimensions — consistency with other possession phenomena, visual structure, cross-cultural variation, and post-NDE psychic sequelae — this series dismantles the myth of NDEs as evidence of an afterlife.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[7].keyFeatures,content,"A deep analysis of 34 peer-reviewed NDE studies from top Western universities. Unlike popular media, which cherry-pick romanticized accounts, this series presents the full, unfiltered dataset — revealing NDEs as culturally conditioned, neurobiologically induced illusions orchestrated by spirit entities.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[7].videoLength,content,74mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[8].fileNumber,content,FILE 1-2-6,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[8].title,content,"Past life memories come from parasitic souls, it can not prove reincarnation",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[8].abstract,content,"Through the human mind’s “consciousness input port” — particularly the memory system — attached spirits(ghosts) transmit their own life experiences in first-person narrative form. The host misinterprets these as their own past-life memories, leading to the widespread belief in reincarnation. This series demonstrates that reincarnation is a cognitive illusion, not a metaphysical reality.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[8].keyFeatures,content,"Rigorous logical analysis: The alleged “reincarnated self” has no biological continuity. It lacks a coherent sense of “I” — no unified identity, no persistent consciousness. Memory transfer ≠ identity transfer. This series exposes a fundamental error in spiritual research: mistaking information transfer for soul migration.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[8].videoLength,content,42mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[9].fileNumber,content,FILE 1-3,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[9].title,content,Whether Souls have Eyes? Scientific Discovery on Spiritual Vision,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[9].abstract,content,"Eyes are a fundamental condition shaping the very nature of spirits(ghost) existence. If spirits(ghost) lack eyes, this fundamentally challenges every cultural, religious, and metaphysical assumption about the afterlife. Across nearly all human cultures, the ethereal realm is depicted as containing hellfires, paradisiacal realms, demons, gods, and other spirits. But how can spirits(ghost) perceive these environments — or each other — without visual organs? How can the imagined existence of spirits(ghost) even be coherent without sight?",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[9].keyFeatures,content,"This series draws upon 19 peer-reviewed academic papers from China’s most prestigious institutions — including the Institute of Physics and Institute of Biophysics (Chinese Academy of Sciences), Peking University, National Taiwan University, Beijing Normal University, and the Shanghai Institute of Laser Technology — combined with the firsthand experiential accounts of the Wu family. Collectively, they provide conclusive evidence: spirits(ghost) do not possess eyes.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[9].videoLength,content,77mins,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[10].fileNumber,content,FILE 1-4,,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[10].title,content,"Discover the truth of body shape, organs, material composition and metabolism of souls",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[10].abstract,content,"The ethereal body is material in nature. This series represents the first systematic scientific exploration into the physical structure, organ systems, material composition, and energy metabolism of human spirits(soul) after death — marking humanity’s initial step toward understanding the material reality of the ethereal realm.",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[10].keyFeatures,content,"Drawing on 8 international academic studies, the ICD-11 classification (Category 6B6: Spirit Attachment Disorders) from the World Health Organization, and rare archival footage, this series presents the most comprehensive and empirically grounded analysis to date of the spirit body’s anatomical and physiological characteristics..",,,源码仅英文；核对后补西语/中文
/record-of-soul,src/content/siteContent.ts,siteContent.recordOfSoul.timeline[10].videoLength,content,243mins,,,源码仅英文；核对后补西语/中文
/spirit-medicine,src/content/siteContent.ts,siteContent.spiritMedicine.title,content,Woos Spirit Medicine,,,源码仅英文；核对后补西语/中文
/spirit-medicine,src/content/siteContent.ts,siteContent.spiritMedicine.description,content,"Healing methodologies connecting the physical body and ethereal consciousness. This season focuses on practical intervention, structured recovery pathways, and ongoing restoration of balance for mind and soul.",,,源码仅英文；核对后补西语/中文
/spirit-medicine,src/content/siteContent.ts,siteContent.spiritMedicine.note,content,Episode list and links mirror the official YouTube playlist “Spirit Medicine” (same order as FILE 2-1 → 2-5 curriculum groups on /spirit-medicine).,,,源码仅英文；核对后补西语/中文
/universal-matrix,src/content/siteContent.ts,siteContent.universalMatrix.title,content,Universal Matrix of Meta Awareness,,,源码仅英文；核对后补西语/中文
/universal-matrix,src/content/siteContent.ts,siteContent.universalMatrix.description,content,"Advanced transcendental truths governing systemic universe order and ultimate human destiny. This season presents conceptual architecture, governance logic, and higher-order awareness models.",,,源码仅英文；核对后补西语/中文
/universal-matrix,src/content/siteContent.ts,siteContent.universalMatrix.note,content,"This section is scaffolded using the original series layout so you can fine-tune language, hierarchy, and visual rhythm in Layrr.",,,源码仅英文；核对后补西语/中文
